gender,size,min_length_in_mm,max_length_in_mm
M,4,0,238
M,5,238,245
M,6,246,254
M,7,255,262
M,8,263,271
M,9,271,279
M,10,280,288
M,11,289,302
M,12,303,305
M,13,306,310
M,14,311,319
M,15,320,328
M,16,329,337
M,17,338,346
W,1,0,213
W,2,213,220
W,3,221,228
W,4,229,237
W,5,238,245
W,6,246,244
W,7,255,262
W,8,263,271
W,9,272,280
W,10,281,289
W,11,290,298
W,12,299,307
W,13,308,316
W,14,317,325
W,15,326,334
B,5,128,135
B,6,136,144
B,7,145,153
B,8,154,161
B,9,162,171
B,10,172,178
B,11,179,187
B,12,188,195
B,13,196,230
B,1,204,212
G,5,128,135
G,6,136,144
G,7,145,153
G,8,154,161
G,9,162,171
G,10,172,178
G,11,179,187
G,12,188,195
G,13,196,230
G,1,204,212
